date,temp_mean,city
2023-07-05,17.3,Paris
2023-07-06,19.2,Paris
2023-07-07,23.1,Paris
2023-07-08,26.5,Paris
2023-07-09,23.5,Paris
2023-07-10,23.3,Paris
2023-07-11,24.9,Paris
2023-07-12,21.3,Paris
2023-07-13,20.4,Paris
2023-07-14,23.0,Paris
2023-07-15,23.0,Paris
2023-07-16,20.5,Paris
2023-07-17,19.9,Paris
2023-07-18,21.8,Paris
2023-07-19,21.0,Paris
2023-07-20,20.1,Paris
2023-07-21,19.5,Paris
2023-07-22,19.8,Paris
2023-07-23,20.0,Paris
2023-07-24,19.6,Paris
2023-07-25,17.0,Paris
2023-07-26,17.8,Paris
2023-07-27,19.4,Paris
2023-07-28,20.2,Paris
2023-07-29,20.0,Paris
2023-07-30,18.9,Paris
2023-07-31,19.4,Paris
2023-08-01,18.8,Paris
2023-08-02,19.6,Paris
2023-08-03,17.2,Paris
2023-08-04,17.3,Paris
2023-08-05,16.1,Paris
2023-08-06,16.2,Paris
2023-08-07,16.8,Paris
2023-08-08,18.6,Paris
2023-08-09,19.5,Paris
2023-08-10,20.3,Paris
2023-08-11,21.8,Paris
2023-08-12,21.5,Paris
2023-08-13,19.6,Paris
2023-08-14,20.6,Paris
2023-08-15,20.5,Paris
2023-08-16,20.7,Paris
2023-08-17,22.2,Paris
2023-08-18,23.9,Paris
2023-08-19,23.8,Paris
2023-08-20,23.1,Paris
2023-08-21,21.8,Paris
2023-08-22,23.0,Paris
2023-08-23,24.2,Paris
2023-08-24,22.7,Paris
2023-08-25,20.5,Paris
2023-08-26,17.6,Paris
2023-08-27,16.4,Paris
2023-08-28,16.5,Paris
2023-08-29,16.2,Paris
2023-08-30,16.4,Paris
2023-08-31,15.8,Paris
2023-09-01,19.2,Paris
2023-09-02,21.3,Paris
2023-09-03,23.1,Paris
2023-09-04,22.9,Paris
2023-09-05,24.9,Paris
2023-09-06,24.7,Paris
2023-09-07,23.0,Paris
2023-09-08,25.8,Paris
2023-09-09,26.1,Paris
2023-09-10,26.5,Paris
2023-09-11,22.7,Paris
2023-09-12,18.9,Paris
2023-09-13,18.8,Paris
2023-09-14,18.9,Paris
2023-09-15,19.4,Paris
2023-09-16,19.4,Paris
2023-09-17,20.2,Paris
2023-09-18,19.0,Paris
2023-09-19,17.2,Paris
2023-09-20,20.0,Paris
2023-09-21,17.3,Paris
2023-09-22,13.4,Paris
2023-09-23,13.6,Paris
2023-09-24,13.7,Paris
2023-09-25,16.2,Paris
2023-09-26,17.7,Paris
2023-09-27,18.9,Paris
2023-09-28,19.1,Paris
2023-09-29,18.9,Paris
2023-09-30,15.3,Paris
2023-10-01,18.0,Paris
2023-10-02,19.6,Paris
2023-10-03,18.3,Paris
2023-10-04,13.9,Paris
2023-10-05,13.8,Paris
2023-10-06,14.2,Paris
2023-10-07,16.0,Paris
2023-10-08,17.6,Paris
2023-10-09,16.9,Paris
2023-10-10,18.1,Paris
2023-10-11,18.7,Paris
2023-10-12,19.2,Paris
2023-10-13,20.9,Paris
2023-10-14,14.1,Paris
2023-10-15,10.3,Paris
2023-10-16,8.5,Paris
2023-10-17,10.7,Paris
2023-10-18,15.5,Paris
2023-10-19,17.2,Paris
2023-10-20,15.1,Paris
2023-10-21,13.1,Paris
2023-10-22,13.0,Paris
2023-10-23,10.3,Paris
2023-10-24,12.8,Paris
2023-10-25,13.1,Paris
2023-10-26,13.3,Paris
2023-10-27,12.3,Paris
2023-10-28,12.5,Paris
2023-10-29,13.8,Paris
2023-10-30,11.9,Paris
2023-10-31,11.5,Paris
2023-11-01,12.4,Paris
2023-11-02,12.0,Paris
2023-11-03,8.3,Paris
2023-11-04,10.5,Paris
2023-11-05,11.5,Paris
2023-11-06,10.1,Paris
2023-11-07,9.3,Paris
2023-11-08,9.4,Paris
2023-11-09,10.4,Paris
2023-11-10,8.7,Paris
2023-11-11,7.7,Paris
2023-11-12,9.5,Paris
2023-11-13,14.5,Paris
2023-11-14,11.9,Paris
2023-11-15,10.5,Paris
2023-11-16,8.8,Paris
2023-11-17,8.2,Paris
2023-11-18,10.7,Paris
2023-11-19,13.7,Paris
2023-11-20,11.0,Paris
2023-11-21,9.8,Paris
2023-11-22,7.3,Paris
2023-11-23,10.4,Paris
2023-11-24,9.4,Paris
2023-11-25,4.5,Paris
2023-11-26,3.4,Paris
2023-11-27,6.4,Paris
2023-11-28,5.4,Paris
2023-11-29,4.2,Paris
2023-11-30,3.0,Paris
2023-12-01,2.3,Paris
2023-12-02,-0.6,Paris
2023-12-03,0.8,Paris
2023-12-04,5.9,Paris
2023-12-05,7.2,Paris
2023-12-06,5.1,Paris
2023-12-07,4.3,Paris
2023-12-08,7.2,Paris
2023-12-09,9.5,Paris
2023-12-10,10.3,Paris
2023-12-11,10.9,Paris
2023-12-12,10.8,Paris
2023-12-13,8.3,Paris
2023-12-14,7.6,Paris
2023-12-15,7.5,Paris
2023-12-16,5.2,Paris
2023-12-17,3.1,Paris
2023-12-18,2.2,Paris
2023-12-19,6.8,Paris
2023-12-20,7.9,Paris
2023-12-21,10.7,Paris
2023-12-22,10.2,Paris
2023-12-23,9.9,Paris
2023-12-24,10.2,Paris
2023-12-25,11.4,Paris
2023-12-26,10.7,Paris
2023-12-27,9.3,Paris
2023-12-28,10.4,Paris
2023-12-29,10.0,Paris
2023-12-30,9.6,Paris
2023-12-31,9.3,Paris
2023-01-01,10.4,London
2023-01-02,5.9,London
2023-01-03,7.9,London
2023-01-04,12.0,London
2023-01-05,10.5,London
2023-01-06,9.6,London
2023-01-07,10.3,London
2023-01-08,7.4,London
2023-01-09,5.8,London
2023-01-10,8.3,London
2023-01-11,8.8,London
2023-01-12,10.5,London
2023-01-13,7.5,London
2023-01-14,8.9,London
2023-01-15,4.9,London
2023-01-16,2.4,London
2023-01-17,-2.2,London
2023-01-18,-0.5,London
2023-01-19,-0.3,London
2023-01-20,1.7,London
2023-01-21,1.3,London
2023-01-22,-1.8,London
2023-01-23,-1.1,London
2023-01-24,1.8,London
2023-01-25,0.7,London
2023-01-26,4.7,London
2023-01-27,4.1,London
2023-01-28,2.2,London
2023-01-29,4.4,London
2023-01-30,6.1,London
2023-01-31,6.2,London
2023-02-01,6.3,London
2023-02-02,7.7,London
2023-02-03,9.5,London
2023-02-04,7.5,London
2023-02-05,5.0,London
2023-02-06,2.3,London
2023-02-07,1.3,London
2023-02-08,0.5,London
2023-02-09,2.3,London
2023-02-10,2.3,London
2023-02-11,7.9,London
2023-02-12,7.3,London
2023-02-13,5.8,London
2023-02-14,5.1,London
2023-02-15,6.5,London
2023-02-16,9.6,London
2023-02-17,11.7,London
2023-02-18,11.1,London
2023-02-19,8.7,London
2023-02-20,9.2,London
2023-02-21,8.2,London
2023-02-22,6.0,London
2023-02-23,5.9,London
2023-02-24,4.0,London
2023-02-25,4.3,London
2023-02-26,4.1,London
2023-02-27,3.8,London
2023-02-28,4.6,London
2023-03-01,5.3,London
2023-03-02,4.1,London
2023-03-03,3.9,London
2023-03-04,5.1,London
2023-03-05,3.3,London
2023-03-06,3.7,London
2023-03-07,3.0,London
2023-03-08,1.3,London
2023-03-09,6.2,London
2023-03-10,4.3,London
2023-03-11,2.5,London
2023-03-12,9.9,London
2023-03-13,11.7,London
2023-03-14,6.4,London
2023-03-15,4.5,London
2023-03-16,10.4,London
2023-03-17,10.8,London
2023-03-18,10.1,London
2023-03-19,8.3,London
2023-03-20,9.8,London
2023-03-21,10.8,London
2023-03-22,11.4,London
2023-03-23,10.8,London
2023-03-24,9.8,London
2023-03-25,10.0,London
2023-03-26,7.5,London
2023-03-27,5.3,London
2023-03-28,7.0,London
2023-03-29,11.4,London
2023-03-30,12.1,London
2023-03-31,10.9,London
2023-04-01,9.7,London
2023-04-02,7.9,London
2023-04-03,5.6,London
2023-04-04,5.7,London
2023-04-05,6.6,London
2023-04-06,9.5,London
2023-04-07,8.2,London
2023-04-08,7.9,London
2023-04-09,9.3,London
2023-04-10,11.0,London
2023-04-11,8.8,London
2023-04-12,7.7,London
2023-04-13,8.3,London
2023-04-14,7.2,London
2023-04-15,9.7,London
2023-04-16,9.9,London
2023-04-17,10.7,London
2023-04-18,8.9,London
2023-04-19,10.3,London
2023-04-20,8.9,London
2023-04-21,7.3,London
2023-04-22,8.0,London
2023-04-23,10.4,London
2023-04-24,8.1,London
2023-04-25,6.5,London
2023-04-26,7.9,London
2023-04-27,9.3,London
2023-04-28,13.3,London
2023-04-29,10.9,London
2023-04-30,11.4,London
2023-05-01,12.0,London
2023-05-02,10.5,London
2023-05-03,9.4,London
